"meal_id";"user_id";"log_date";"meal_type";"calories_intake";"is_logged_correctly"
"2c519fcf-54e6-4344-a07b-4499c4f89e34";"adec99dc-2b4b-4e62-8715-618d3c7c87aa";"2023-05-03";"snack";381;1
"37617bd4-3c53-4b60-843a-ade3a7d06d8d";"16a15c66-eab4-45fd-b5ec-b6c447213e3f";"2023-10-18";"lunch";467;1
"7f9602d4-ce42-42e1-b0c0-7dc681531532";"1bb4fe7b-558e-4fc4-b776-287258d543ec";"2023-10-21";"dinner";626;1
"f1c192cb-7bf1-4231-8c17-41baebfe64bc";"01076942-fd40-4158-88bf-85b0c1fba19a";"2023-01-02";"dinner";639;1
"f52196af-e092-4d08-a265-df027855d7e1";"a07ba055-d82c-41c2-957f-0aaeea1a21f5";"2023-07-05";"snack";658;1
"3f13bf46-45bf-4cf4-9249-c570d40850dd";"3c83677c-49e5-434f-84d8-614143d55c5f";"2023-03-08";"lunch";555;1
"5d71a663-d81f-4fc2-b258-5b9826aff28c";"89e8a8ab-cc51-4a91-9cba-4230535a7490";"2023-07-04";"dinner";632;1
"1e74aa80-792e-4274-9902-e5eaac481245";"907281a7-eeb9-4bf5-aed3-923103d5b7b4";"2023-03-17";"breakfast";340;1
"2c4f7ca0-d11b-4dd6-9603-593cff8bc2fa";"159cf730-02cc-4c13-a0d7-478d349e11bb";"2023-03-27";"snack";571;1
"6618ebb6-bff9-4687-b367-41985f874e9f";"98f5fc5b-0151-4697-a1d6-ae01262ba306";"2023-04-29";"breakfast";517;1
"ae2441ce-d7af-4e9d-b61a-2e418a27495e";"4acd444a-5193-48af-9235-12af572f3ae0";"2023-12-07";"breakfast";258;1
"1b5e7095-6942-4816-a5d8-fe1828f793a5";"d7f77545-e295-4869-bafb-1af14ee5020b";"2023-04-17";"breakfast";628;1
"2fc1d248-6340-4d64-b8eb-eff0c26df616";"7693cfa8-321d-4930-8e9f-7ae416a3399f";"2023-01-18";"dinner";385;1
"4bb3faaa-842c-496b-92bb-d33afc0ec415";"347e2b6a-9839-4834-bfa7-c1e4d66b2fad";"2023-06-10";"breakfast";593;1
"43ef72b9-a2ac-4dc0-a773-3a2f614df55b";"ccc75403-cad6-44e7-8e00-f0db80c25fff";"2023-10-20";"breakfast";334;1
"cf6ed9bc-8e28-40c1-bdf7-f5bd2dc411cb";"63e60c44-b7b8-4015-894c-cd01e86b7b6b";"2023-01-07";"breakfast";679;1
"438c781f-4cf7-4080-8d6c-131f0e85dccb";"5a87689e-1aa5-43c8-8d94-00d882f01577";"2023-03-22";"breakfast";556;1
"fad930b5-05ee-4d8d-abc6-cfe1e2a6f30a";"6e39a610-77cf-4a57-8c99-91f4155caa93";"2023-12-13";"snack";430;1
"872091e1-56e9-43f1-8490-7a519ffbbdcd";"994fd8ae-ceba-4c1e-bc25-a353cc7b3b46";"2023-01-18";"dinner";691;1
"8e7bb7ce-6887-40eb-b0bf-141b79cbee1b";"635417be-dd5b-48d0-8ae4-7c5c2b20537c";"2023-06-06";"snack";307;1
"a23ed052-0b25-43cb-b579-198b2e3c0520";"1c6a4369-bed0-4376-8134-ce93dac18cce";"2023-04-24";"dinner";548;1
"4a9c62d4-850e-4a7b-a2c7-6e35df4c4191";"eb8478db-e9eb-4989-9675-d0ae7f3105fb";"2023-01-22";"lunch";542;1
"093d1b4f-9f21-4a7b-bbe7-3cd270fc2507";"bfa387c1-3b6b-416d-a6ad-1117b4ad2ad2";"2023-03-23";"dinner";447;1
"1f7185c4-6e55-4424-aedd-8fbd7402c864";"93a35afe-3bee-4057-9e11-157ed3ba856f";"2023-05-17";"snack";531;1
"28fa2750-c917-4a1c-b87e-8f6475f56ba2";"8720001e-891d-41b8-9358-e3e9192da0ba";"2023-02-10";"snack";476;1
"a1e099db-8eff-4fad-9e63-1dd23e43e065";"5fba0f3a-7b48-4e82-9134-2add4f495812";"2023-12-05";"breakfast";651;1
"c74ff0af-be59-4795-b267-70c8100a0c73";"9765f8ec-498f-4b00-8f7a-4fbf216e86cd";"2023-10-18";"breakfast";506;1
"d2afc86c-5c37-46a5-b4f2-04cbbf828601";"5ee4c3cd-43a3-44d8-9120-6184aac19686";"2023-04-01";"dinner";331;1
"f314bf19-bde1-4284-8ac2-1b2fde1e18ce";"98890f66-11d4-4d40-879a-7855f282448d";"2023-02-27";"snack";606;1
"c0c48d94-cede-42e5-9e63-6205d5e8f971";"a8729ddb-d43b-45a8-9bc3-5874b3672a20";"2023-06-04";"snack";498;1
"02f6cffb-a0ec-4472-ab68-c0917f206981";"558f3934-ed99-49d8-84e8-49d30aff8fe0";"2023-06-21";"dinner";479;1
"341d29fd-1808-4946-a7ad-2ecfa35ef369";"f4b5d9c7-6e30-4a86-a54a-bea33e64a325";"2023-11-25";"lunch";642;1
"cba51d6e-5f6a-4ec0-a7c8-277cc5c92ae6";"b40da596-1e75-472e-9daf-45f3b5c01f91";"2023-12-22";"breakfast";384;1
"55acaacf-b25b-429a-8ba8-96264ba46143";"72bc3d9c-6252-409b-bb13-86da866823f3";"2023-01-11";"breakfast";407;1
"691e76e6-4571-4656-ad03-c927aec73326";"2fb6a2bf-1b90-4661-9941-42430e7b5040";"2023-12-31";"snack";523;1
"9dc3afdf-6bbb-45ea-994b-df18e8227b14";"2683ae93-05ab-47c7-ae46-2f3418e82b9d";"2023-09-06";"breakfast";578;1
"c8350c01-9970-4c2f-9f5b-834ba6bd571c";"1f5ec6bc-c240-49d7-a92b-d3e5fae55b0b";"2023-05-07";"dinner";372;1
"550d9fd1-356f-4b05-9323-15f93bd76066";"e38c288b-c930-4d4b-a747-0ab3fd4c4390";"2023-08-05";"snack";536;1
"be1c8b8e-eb78-495f-8341-78ce02ce31e5";"8e6aaa5a-6987-4ffb-9f35-2b02009fbca0";"2023-12-14";"dinner";650;1
"9a7d3e9e-e07a-42d0-b3b4-5dcaad8c8df2";"7a399ca2-4f07-43ec-a7d2-33ca7a0907bf";"2023-06-22";"dinner";554;1
"5f8cf3ee-ce57-4d9f-a59b-7d2ae8457261";"05f4c954-06c5-4e86-9e2f-48495da07d37";"2023-03-07";"breakfast";639;1
"c2a8c643-9472-43eb-ae53-1b033968dc4d";"8908e17e-0335-4025-8c67-fefd52281890";"2023-08-18";"breakfast";630;1
"1b4384b9-3181-4580-a78f-7ff0c3e2bccc";"3932267f-a484-4e69-86cf-c76fa4020d40";"2023-09-22";"breakfast";523;1
"591209ee-da58-4056-9f7f-03d06ce5beec";"552a88f5-0b5f-4788-9125-4f5b495299db";"2023-03-15";"breakfast";679;1
"042edfe4-fec9-4304-8eef-57282f1502ce";"a7dc6e76-a0ac-4279-86e6-565dd761613a";"2023-10-17";"breakfast";543;1
"7e01adbe-a019-4a61-b9e1-2917e929a143";"4439a440-6f01-4c48-8b85-740c29ca7718";"2023-04-10";"dinner";629;1
"ea0e77ac-e81c-4bda-8ca5-814290a00927";"57277434-6090-4a96-a555-1cc24f970ca4";"2023-12-05";"snack";397;1
"61470639-c0ed-4387-a31b-42d40141043a";"7eed3a12-a818-486f-a32a-008ff25e9873";"2023-01-01";"snack";328;1
"3f2a5f9d-3939-4848-8996-9e9742a85165";"0a8df8d9-2e45-482c-893f-aeae9c3e4ab6";"2023-05-03";"breakfast";467;1
"f4bdbb6a-49d5-4379-92c2-608de5f81f06";"0cbd4fcd-3dab-4601-a51f-80836a528a99";"2023-06-15";"lunch";694;1
"86940976-3b60-485a-80b1-1866387f75f1";"db40d372-7aae-4a31-9027-1a6e684cad93";"2023-04-04";"snack";689;1
"dfb612b8-a955-4160-825a-d51fe4e00815";"08ab73a4-b1e8-495b-893f-383dd59290e8";"2023-07-17";"lunch";546;1
"8e6041ca-b9f3-4abb-82ac-997fb7c30bc0";"9513e3c8-984c-4fb0-aa39-ffbbb2d6deb4";"2023-02-24";"dinner";482;1
"9fa29578-2108-4aa9-8d35-1f451ea0e96e";"0cbd4fcd-3dab-4601-a51f-80836a528a99";"2023-01-23";"breakfast";318;1
"e377dd9f-7bf9-4b34-8a65-4fb30671385d";"eef6109c-453a-4e6d-9e31-15d6bf1e3734";"2023-12-03";"dinner";548;1
"fd3c44ef-5705-4b9f-b48c-884c14b7f145";"7be8889d-6469-445b-8872-549b1e87a237";"2023-03-18";"snack";238;1
"a43226e3-ee2a-4948-9f1a-0774d234fe2e";"f7182b0b-3a49-4226-9e4b-d79c00b5698e";"2023-09-05";"dinner";436;1
"d0278e63-06ab-49e6-83a3-381732c5abb2";"30c9fea6-331c-45d1-9449-d455f97c8ebf";"2023-11-15";"breakfast";447;1
"6ca8dd23-b133-4a2a-8160-45e7cb134d27";"93cdada8-b432-4a0c-89f1-7f24720f1655";"2023-02-01";"breakfast";271;1
"693474ce-f4c6-42e6-b70a-7a69eada75e1";"7da57a50-3513-4567-9f90-c13c5b19bfe3";"2023-02-19";"breakfast";543;1
"7f308c31-c51d-489f-8b33-5ba2d7d325d3";"2de90989-2206-4f82-ac85-67ea2a03f45e";"2023-04-11";"snack";514;1
"0cba9744-3dd9-461b-b09d-3f7aa5f4fd1e";"d17ac2c0-3747-4983-811d-cdf79a90e11b";"2023-04-13";"snack";645;1
"8d5c20bf-261d-4861-b890-a7174aa4fecd";"6a0b35a1-2c18-4e84-975c-8c6e1046a112";"2023-09-27";"breakfast";632;1
"4035d0b1-ff0d-4874-a8a1-9ddc16114829";"9e765a97-510f-42a6-9ac6-6689c3dfa86e";"2023-01-11";"lunch";629;1
"7cd9847e-e2c4-4a6e-a86e-c96359d24273";"c0f5aadb-36da-4cd0-bdc7-b8661bdc13f0";"2023-02-14";"snack";443;1
"41981dbb-2302-4f94-b883-3e6f966b9fac";"dee2c422-778b-4b4a-ad5f-76074c594886";"2023-10-11";"breakfast";260;1
"f5008890-0fab-4f51-ad2c-dc282704c393";"d8d70ee2-acf3-4571-b861-e590c8403ff7";"2023-05-15";"breakfast";204;1
"b28f643e-0ceb-436b-9fb9-454da36b2441";"a6cbe6c1-14f9-4e4f-90a1-9ddff0e1f3cb";"2023-03-05";"lunch";448;1
"bf3bbd03-2c28-43a8-b5c5-40afd01cee36";"68acf370-fceb-43aa-aadd-34215a3670c8";"2023-02-18";"lunch";435;1
"f9770280-a294-4eeb-bae1-6695fdd594a3";"8956a5f8-0ae3-4b2f-8351-f24bca0d672d";"2023-01-16";"breakfast";589;1
"3655dbe9-075c-4130-8148-17fb612c7050";"57ef2dee-ffc1-49e5-86ec-526b4194d681";"2023-01-15";"snack";430;1
"881ff2a5-3ce0-47bc-b571-66bb10abf561";"eef9272e-b2b1-48fd-8a03-ea239e3a5bca";"2023-08-13";"lunch";440;1
"832b9071-da87-4eac-ade2-935d75866f13";"a4125aac-3f9c-40ab-b340-3d9143c8ae88";"2023-12-25";"lunch";589;1
"1d2274f6-dcb6-4cc9-9a10-05e5cb304da5";"025967a8-d4a5-40f8-8f98-8a066cb014fd";"2023-12-01";"lunch";327;1
"6e480c1d-19dd-43a4-b063-2c05b444004f";"dbb3a8cb-e943-4365-a83c-7535d450228c";"2023-08-31";"snack";686;1
"72500e56-748f-411f-8a7d-49aa2a717a4e";"2f903151-6481-4651-a18b-6187dee96ec0";"2023-03-31";"breakfast";588;1
"9eed1e14-6def-478e-8b22-002f2884487b";"e5054bb5-c454-4dcc-b5a6-cc2eda835304";"2023-11-18";"lunch";679;1
"6f04b055-58c5-4ac0-b952-dcc9cc7324e4";"f79650aa-3386-4348-b49a-61507f51bca6";"2023-07-27";"dinner";208;1
"d32c19a6-74e8-4c79-91a7-cbdbb3c04fb3";"d9cc9f8c-c1d7-4dc4-93cd-6c3168a27e47";"2023-01-08";"dinner";444;1
"4ea2b0d2-4005-447f-9081-0c54e2f50da5";"3aa32bdd-f4c5-47ad-9407-805e02685d88";"2023-11-10";"snack";521;1
"fe7e6325-7d6e-4d92-8d69-2c0127a37e11";"2a0eb6bd-131c-4715-8b71-80ded9125982";"2023-07-08";"lunch";429;1
"187cfeac-64cb-4e03-97f5-8e84d621a5d4";"d4015059-8c44-46fe-bd71-59ec097bc19d";"2023-12-05";"lunch";246;1
"942972ef-b138-4b59-8278-450b02bf26d8";"bdd10ec0-abfc-45f7-8182-b5b4a4d8c7e0";"2023-04-06";"breakfast";526;1
"e8edcdae-73a0-4879-80e3-cff090fde594";"1eb2ee20-62b1-42f1-95ab-aa7171c71d97";"2023-12-08";"lunch";296;1
