user_id,signup_date,gender,region,subscription_type
289d73ea-6168-466b-9d74-8c26c570740b,2024-10-27,O,,free
f5b870f7-c109-4179-8f69-fa915c120794,2024-07-07,O,,free
addab471-fb37-4525-a911-6babbe1e2107,2025-01-04,M,,free
cde8ec05-76ae-4f85-83f0-4b403e4b8a75,2023-09-07,F,EU,free
16ab505c-6a26-4a4d-9a28-8a7b2d22d8b8,2023-12-03,M,APAC,premium
d6828372-513d-4792-bc57-2cb5a4b5bc39,2023-10-03,M,,premium
073a9b14-4b35-4cc6-9277-db406a87f1e2,2024-07-10,F,,premium
32fa9f68-cc06-420a-9391-596e232392c3,2024-08-30,F,EU,free
fec710c6-6e2f-4edf-a53b-77672ec4b829,2023-08-25,F,EU,free
59a97fda-c7a4-4114-9d72-62eaabfb50d7,2023-10-19,,LATAM,free
96968bc1-842d-4aaf-b5a6-b9dee59aca8d,2023-07-08,M,,premium
4b3ac2fc-797f-43f6-9cd9-00166e82f205,2024-05-13,M,,free
f5b8401c-f8c0-411a-8d74-6a247efcecca,2025-03-20,M,,free
1a8d3d1e-c84f-48a4-94a1-0365f32c90c7,2024-01-20,F,APAC,premium
0eee37f4-4ad2-4435-bd55-ebbf248ca313,2024-11-04,M,LATAM,premium
319dc1c9-adf1-418f-bf26-1efc54393fdd,2025-02-12,O,LATAM,premium
2d610afa-b8a7-477d-869c-e8dad3d3bbc3,2024-01-20,,,free
516d9fc2-a3b8-4da0-9f17-042afc0bae99,2023-09-05,O,,free
8a474cc7-452a-44dc-bb51-0da1d96ad80b,2023-09-01,M,EU,free
7f7ad4b9-4716-4d89-b0fe-04c5ee11fb55,2024-09-30,F,,premium
a813d1f3-e67f-4b00-aa0b-1800c1805cac,2025-04-08,,LATAM,premium
391d2716-478b-420b-831b-85133f35fd4a,2024-07-05,M,,premium
3d1ad0a1-2fa6-46ae-9005-e7f4a9b7574d,2023-10-10,M,LATAM,free
209d03e9-05a0-4fa0-884b-f191ea1110a1,2024-05-05,,EU,free
5203272a-15cf-4516-8525-3e4d3b357604,2024-03-06,F,,free
e32f7f81-a9d5-48d0-8987-3da8e09b65f6,2025-02-21,O,,premium
b87c4e40-a765-4b47-82ca-1338a8f871e9,2023-07-15,M,,free
46b7e8c8-f7ea-4706-b3ab-01f0a382a201,2024-03-13,,LATAM,free
0d448ac8-137d-48b1-80e0-c1939761f8dd,2023-09-28,F,EU,premium
4bcb746c-5de8-4a00-81e3-699443e009a5,2024-09-30,M,,free
84e11ee2-b25e-41ef-b0b2-2d3d4d50f132,2024-06-24,M,EU,premium
7f692f91-3720-41c8-9930-256f0d6fe7ef,2023-09-16,M,EU,premium
56886e06-e4fa-422c-a63a-bd29da35e405,2024-11-20,M,,free
33b458a6-5125-4c0c-8909-59d0f46312a3,2025-04-14,,,free
f3d93cba-bf1c-4cb1-8f2b-04e9e2091f6c,2024-08-09,M,LATAM,free
52839b5e-42c1-469e-b2cd-d52db705d2df,2024-03-14,F,EU,free
ea52da80-5b54-4337-bc09-ebfe9c471180,2024-02-24,F,LATAM,premium
2ae93580-4703-4b19-95fc-46be9f72bcdb,2023-12-10,O,APAC,free
4fb23476-56a7-4825-bc0d-cd3bd0245c92,2023-12-02,F,APAC,free
9b87a152-0a67-4045-83f0-4a975f8acbc4,2024-08-31,M,,premium
bd494246-8fc1-497a-947f-491f93aa4e72,2023-09-09,O,,free
c73ab2a3-9de3-4f1c-a65b-cdb44d0c8039,2025-01-19,,APAC,premium
e2a7c11c-0dc7-4445-bfbb-1acf021e193a,2024-10-20,F,EU,free
070dcb68-0e07-4452-89f0-f8dc86ab7288,2024-07-14,,EU,premium
a86f5103-5f99-418e-b1b8-3b216bb6bc14,2024-08-28,F,APAC,free
c1c8033c-28df-4a1f-8008-8602b39d5d42,2024-08-30,M,EU,free
0a12b5dd-8073-4af6-aef2-c47debacd9c7,2025-04-07,F,APAC,free
a632b467-1b81-4e40-8534-21772b141ffa,2025-02-27,M,,free
6a158b41-c4ea-48a6-a6b0-e122726540f8,2024-10-13,F,EU,premium
2d32b941-668d-4fd2-bdf1-9aad582ec9e9,2024-08-09,,LATAM,free
f7277586-b839-4536-bb10-f0811af2a372,2024-03-28,M,,free
5c69fb29-be09-4543-8508-1f2bab421d05,2024-04-26,,,free
6025fcbf-f7ba-48b7-bdbf-9ad20eebf377,2025-03-16,O,,free
ba1da0eb-2bb1-401a-9662-54e86db376b8,2024-09-27,O,EU,free
7e588990-e2b8-4a33-80ca-88b76f4dcc71,2025-03-10,F,,free
9543b92a-5322-468c-9f36-577e0c5a47a7,2024-08-30,,LATAM,premium
5b330898-d831-4930-8314-37f4a80cf522,2025-05-20,F,EU,premium
70950d12-d211-4650-90e7-f11eeda784fa,2024-04-06,M,LATAM,premium
2ea49771-c8c1-4a23-9b38-00f3f0d4ab3a,2024-10-12,F,EU,free
9861a144-079f-4df3-95d0-5228c05990e3,2023-08-22,M,EU,free
d67d417c-a4b8-4bda-9c36-df398e7d7384,2023-07-21,M,,premium
2dd8c596-7b49-42e6-abb1-21e407a972f7,2025-03-23,M,,free
01e2a04b-5fe2-43cd-ac55-da9af7efe4c4,2025-05-01,F,EU,free
41969cc6-bb6a-4f85-9b95-a2fa1dacf91e,2024-01-14,M,EU,premium
3d24c7da-4c61-4add-8e7b-43bb76e5951e,2023-09-07,F,EU,free
800194ee-c0c3-4f57-a3c1-e3954b3c1d48,2024-07-22,O,APAC,premium
8d1f33ca-7c01-4a09-8488-eebcd37f1be9,2025-04-16,M,LATAM,free
f085dd7b-ce58-4d58-a8d5-6b9bf5c7d7e9,2024-08-29,F,LATAM,premium
1d90c8f3-67e9-4b76-bbca-36969c2de341,2024-03-22,,APAC,free
3837c7ca-409b-4828-82c0-8a70ad9659d3,2024-01-19,,EU,free
802464a6-5def-42dc-9f8b-556facdab18a,2025-06-18,M,,premium
58537e24-d598-40a8-998b-9e5b1a021c36,2025-05-31,M,LATAM,premium
ea4e0430-dd40-4598-b4ba-9aca6af29d3e,2023-09-21,M,EU,free
69e4f227-f920-4d60-9496-1f57e11ff89d,2024-06-22,,,free
1df06111-7105-4800-82a5-bd6923353a1a,2024-12-22,M,LATAM,free
fc281266-02ea-49a1-8ddb-86490f34e498,2024-10-17,F,EU,free
a122262f-6712-4c6d-822a-158315680b83,2024-11-17,M,,premium
3ff09b2a-c5f2-4a65-8694-ed2e4ef8eedf,2024-05-09,M,,free
74b93a09-ed7b-4d47-98cb-1870bcbd92c2,2025-04-24,M,LATAM,premium
9266d987-d6f4-4a6d-afea-d4663210594e,2024-05-21,M,LATAM,free
44d5c9dc-fe6c-470d-bd79-a02154b4ef37,2024-06-15,F,EU,free
b1ff1142-d838-4f2d-84c9-aabf3da29768,2024-03-22,O,,free
e9200f48-e359-409f-8209-58d19a63d850,2024-05-27,M,LATAM,premium
292b1d1d-2b0d-4116-98c4-116041045497,2025-04-25,,,free
ee20caa1-72c7-4e54-b596-403162b17909,2023-09-29,F,,free
5c87dc9e-372c-43a1-9d6a-225984b1ffd3,2024-11-21,M,APAC,free
22c02234-c3e3-49c9-b0f1-d4c082af2f3f,2025-01-25,M,,free
105ea661-4fd9-4ab0-9600-240fee136694,2024-01-12,F,,free
ce19eae8-a905-495e-8bb6-22ee9c53956f,2023-08-22,M,EU,free
f49203e8-db03-4b04-95b4-21da8b2d6c12,2025-04-15,M,EU,premium
fef72215-175f-4cdf-9294-f69be9bf3863,2025-01-19,M,APAC,free
c653a594-0164-4552-86eb-be1dde6ef2f9,2024-08-01,O,EU,free
1186dba8-d3fc-4828-bab1-1f83b5edb8cd,2024-09-28,O,,free
6c6f0034-6287-4bff-8805-84312b30ee9c,2023-12-04,F,,free
d08cbcdc-0dce-475e-8ce7-421eafd3dc23,2023-10-08,O,,free
adc12f5c-fb5c-4843-b904-100541e9d476,2025-03-14,,,free
5593253b-2917-4f51-94a8-c8d54332c96a,2024-11-22,M,EU,free
7b8efcb7-e8ba-402d-8b82-460694d92d02,2024-07-30,M,,premium
3512f010-bb7c-4da7-806f-940bd335883c,2023-08-28,O,EU,premium
139713b6-238e-4260-a871-64ee3f5cffd4,2024-06-10,,,premium
650a0e66-aff2-475b-92a7-2a03ee3537be,2024-01-17,M,,free
068713f9-0b2e-4ab9-9a83-62d9a2dd2735,2024-08-27,F,APAC,free
7a06b203-63e8-4158-94f0-1d3e0730016f,2025-04-25,M,,free
53e03e2b-9320-4d9d-a5c7-c4396422c4b4,2024-10-22,F,APAC,free
28403c59-a2dc-4228-8f83-c5fb988e3888,2025-06-08,F,EU,premium
e1f3374d-e3ff-404e-834f-2db383a009ae,2023-11-18,M,APAC,free
d59a8860-e8c8-4ca0-b36d-06cf30a22348,2025-02-27,F,EU,free
d1dc6758-d9fd-48f6-adf0-cbe0cb727600,2024-07-27,F,EU,premium
49e9b7cb-945c-429a-8e15-02fb75de792a,2024-01-05,O,,premium
c663cd86-5a7d-4317-bc3f-ab42f323de61,2025-04-06,O,APAC,premium
3c5a48b7-c2e9-428e-b783-69f4656dccc2,2024-08-11,M,EU,premium
4825403f-a3da-416a-831f-9bc8523850f2,2023-11-27,F,,free
8a189ea1-6c63-47e3-90b6-a860170a68a7,2025-03-20,F,LATAM,free
19f3b65e-d3a0-48d8-b6e6-6e61ac02c2c5,2024-09-06,,EU,free
556a1a2b-229b-49a5-b92e-6263b26a2d1e,2024-05-02,M,LATAM,free
cebe5d55-686f-428d-914b-0d4b84694d0c,2023-07-20,M,EU,free
79fd9904-dc2d-4a5b-840c-c968cc3ac7cd,2023-08-11,,EU,premium
6bc58570-264a-4ed9-90c8-c01d3eed2df1,2024-12-10,O,APAC,free
25a4f921-d79c-4b16-80ef-10b499fbfda5,2024-07-06,M,EU,free
6cacd99a-9bb3-484d-94ca-f39258f453bf,2024-05-23,M,,free
50acbdb9-837e-4d00-9a5b-3d9e80af8ad5,2023-11-10,O,LATAM,free
767ecd08-a7f7-4689-a178-75ccaea95e9f,2025-06-17,O,,free
cc1b8a82-ccd3-4cf3-b580-f67c47222a1a,2023-10-25,O,EU,premium
01ef3f16-8a6c-436a-88df-aad0de0a4907,2023-12-23,F,,premium
cf8d8fa0-8fe5-4494-b9f1-afe4091f20aa,2023-08-13,M,EU,free
06b9f23b-320a-4a36-b379-529fa161c03b,2024-06-19,F,,free
8003e77e-3ae0-4008-8e4e-4379072f3e61,2024-02-10,,,free
2b63704a-5520-4aab-b284-52a78e580cad,2024-12-30,O,,premium
2120f524-82a6-4162-af0c-a5e42737b55e,2024-03-12,M,LATAM,free
5c1f00a8-67d5-42f6-a377-f8f44017b69c,2024-11-16,M,LATAM,free
5fc7c8f0-4103-46d1-bebd-fe160a2fd0ff,2024-07-21,F,,premium
38ecdb25-7b4c-49c4-b98f-ae252ac88dd9,2024-05-30,,,premium
04add958-a2ba-4b18-9645-7d8c289e44f1,2025-06-13,O,,free
a37ccb35-4173-4381-a383-b5606a197bfa,2024-06-24,F,EU,free
68defb6d-ceb5-4512-9926-386a2c01081a,2023-11-15,M,EU,free
cc96323d-3d1e-411f-b3be-76e5220e31f2,2025-05-06,M,,free
07065c45-da38-40a1-98b7-6f9134640d9b,2024-04-05,O,,free
fc5bd584-c010-44c9-abbc-999f7308ced7,2023-07-27,M,EU,free
974993de-bcd5-485d-a305-78edb7a301ce,2024-09-18,F,EU,free
dd06a4af-3f64-4e2d-8d7e-c3721cc48530,2025-04-27,F,EU,free
21630671-2dce-4070-a829-875ca0fef8cc,2024-08-25,O,,premium
1899fb8c-1dc0-469d-a085-f852b959f295,2024-04-26,F,EU,free
73ddd7fa-a528-4b61-8784-1ec5e98c10fa,2025-06-11,F,,free
dacbf4f0-a101-454f-aecc-af4196061906,2024-12-02,M,,premium
272b0dce-a88b-495e-8026-7de57a99e00d,2024-12-29,M,,premium
b24b374a-cdf3-4619-9b01-82077183d10b,2024-03-05,,LATAM,free
75728d26-f08e-4ce3-824e-32bcff921a80,2024-04-16,F,,free
153a2889-036c-4f5d-93d4-575bcea5e030,2024-11-05,M,EU,premium
b15ea06b-2c06-4ed7-a53f-8415402d5375,2024-02-16,,,premium
40b13a56-85f7-4ae6-933c-875674413ac0,2024-06-20,M,LATAM,free
be7b5f9b-74ca-4e6c-ad8a-2b7e6dd99168,2025-03-30,O,EU,premium
45ef2d27-efe4-4d62-a43e-272ac14e1473,2025-04-13,F,,premium
c08cfe7e-9cf9-4f32-abda-7518dfd7ba61,2024-11-26,F,,free
577b6af7-ef63-4f01-8690-850558716af3,2024-08-24,,,free
9bc8cd68-e163-4db1-ba74-13cecc050e25,2023-09-14,M,EU,premium
7b7e17dd-3ef0-4a07-a661-a4f1453c496b,2025-01-21,M,,free
67803293-33e2-4c6e-88d9-c9a1b9303992,2025-03-26,O,LATAM,free
6fae5a13-7c83-430e-bfeb-f6a94356ef48,2025-02-13,M,EU,premium
45bad17c-b68b-48cc-a6a8-314f73cbdd1c,2023-10-16,M,EU,free
575d47e1-e729-477a-a5c5-64f8307dab6c,2023-11-12,O,EU,free
9d27bc83-12e2-44cb-8bb3-ef17d854028d,2024-05-29,M,,free
94cbe1b1-710b-43e6-9c2c-32517727617c,2024-01-28,F,,free
cfdc215b-5653-46ce-83a3-dd554ae5f99c,2024-09-12,O,,free
2e920f65-20b1-4a18-b85a-d72e1972931c,2024-01-06,F,LATAM,premium
e0cb7d5a-d62e-4e7c-b41a-f6b1dfa4a82e,2023-12-15,M,,free
956e2f29-ba9e-406d-b841-4d4fa10366a5,2024-05-03,,LATAM,free
7f3eceac-b302-4447-9150-b74896c4a725,2024-03-17,F,EU,premium
1a1ac0b5-4d4f-4382-98fb-0b1f22a8d10b,2024-10-07,F,EU,premium
b5f5cc49-86db-4657-930a-6dc5fec9c392,2024-04-12,,,free
29e7b75c-9db6-40ad-a125-0afbb25c522f,2024-07-31,,LATAM,free
54eb6bac-6076-4768-9026-6180da7fddd4,2025-04-21,M,,premium
4da0f373-25aa-4e4a-a2f0-cd5c05477487,2024-09-26,O,,free
5bbe740d-c70e-4eb5-88ea-818bc221f9a6,2025-02-06,M,LATAM,premium
